Subject	Dutch_name	Stimulus_type	Response_type	label	onset	offset	Real_onset
AH01	mais	picture+word	aloud	mais	0,5022	0,9713	1302
AH01	mais	picture+word	aloud	!	0,9713	1,2012	1771
AH01	microfoon	picture+word	aloud	aloud	0	0,3568	800
AH01	microfoon	picture+word	aloud	microfoon	0,3568	0,9996	1157
AH01	microfoon	picture+word	aloud	!	0,9996	1,2071	1800
AH01	microscoop	picture+word	aloud	aloud	0	0,4734	800
AH01	microscoop	picture+word	aloud	microscoop	0,4734	1,1781	1273
AH01	microscoop	picture+word	aloud	!	1,1781	1,2067	1978
AH01	mier	picture	silent	silent	0	0,2	800
AH01	mier	picture	silent	mier	0,2	1,1	1000
AH01	mier	picture	silent	!	1,1	1,2073	1900
AH01	muis	picture+word	silent	silent	0	0,2	800
AH01	muis	picture+word	silent	muis	0,2	1,1	1000
AH01	muis	picture+word	silent	!	1,1	1,2063	1900
AH01	naaimachine	picture+word	aloud	aloud	0	0,436	800
AH01	naaimachine	picture+word	aloud	naaimachine	0,436	1,1699	1236
AH01	naaimachine	picture+word	aloud	!	1,1699	1,2061	1970
AH01	nietmachine	picture+word	silent	silent	0	0,2	800
AH01	nietmachine	picture+word	silent	nietmachine	0,2	1,1	1000
AH01	nietmachine	picture+word	silent	!	1,1	1,2015	1900
AH01	oor	picture+word	aloud	aloud	0	0,5276	800
AH01	oor	picture+word	aloud	oor	0,5276	0,8981	1328
AH01	oor	picture+word	aloud	!	0,8981	1,2041	1698
AH01	paard	picture+word	aloud	aloud	0	0,3887	800
AH01	paard	picture+word	aloud	paard	0,3887	0,8462	1189
AH01	paard	picture+word	aloud	!	0,8462	1,2003	1646
AH01	panda	picture	silent	silent	0	0,2	800
AH01	panda	picture	silent	panda	0,2	1,1	1000
AH01	panda	picture	silent	!	1,1	1,2036	1900
AH01	papegaai	picture+word	silent	silent	0	0,2	800
AH01	papegaai	picture+word	silent	papegaai	0,2	1,1	1000
AH01	papegaai	picture+word	silent	!	1,1	1,2079	1900
AH01	paperclip	picture	silent	silent	0	0,2	800
AH01	paperclip	picture	silent	paperclip	0,2	1,1	1000
AH01	paperclip	picture	silent	!	1,1	1,2002	1900
AH01	paraplu	picture	aloud	aloud	0	0,5144	800
AH01	paraplu	picture	aloud	paraplu	0,5144	1,1156	1314
AH01	paraplu	picture	aloud	!	1,1156	1,1998	1916
AH01	peer	picture+word	aloud	aloud	0	0,4334	800
AH01	peer	picture+word	aloud	peer	0,4334	0,8331	1233
AH01	peer	picture+word	aloud	!	0,8331	1,2009	1633
AH01	pen	picture+word	silent	silent	0	0,2	800
AH01	pen	picture+word	silent	pen	0,2	1,1	1000
AH01	pen	picture+word	silent	!	1,1	1,2037	1900
AH01	pijp	picture	aloud	aloud	0	0,5115	800
AH01	pijp	picture	aloud	pijp	0,5115	0,9418	1312
AH01	pijp	picture	aloud	!	0,9418	1,2001	1742
AH01	pizza	picture	silent	silent	0	0,2	800
AH01	pizza	picture	silent	pizza	0,2	1,1	1000
AH01	pizza	picture	silent	!	1,1	1,2005	1900
AH01	pompoen	picture	aloud	aloud	0	0,4742	800
AH01	pompoen	picture	aloud	pompoen	0,4742	0,9834	1274
AH01	pompoen	picture	aloud	!	0,9834	1,2068	1783
AH01	potlood	picture	aloud	aloud	0	0,4477	800
AH01	potlood	picture	aloud	potlood	0,4477	1,0265	1248
AH01	potlood	picture	aloud	!	1,0265	1,2049	1827
AH01	prei	picture	aloud	aloud	0	0,5128	800
AH01	prei	picture	aloud	prei	0,5128	0,9324	1313
AH01	prei	picture	aloud	!	0,9324	1,2084	1732
AH01	rasp	picture+word	silent	silent	0	0,2	800
AH01	rasp	picture+word	silent	rasp	0,2	1,1	1000
AH01	rasp	picture+word	silent	!	1,1	1,2045	1900
AH01	rekenmachine	picture+word	silent	silent	0	0,2	800
AH01	rekenmachine	picture+word	silent	rekenmachine	0,2	1,1	1000
AH01	rekenmachine	picture+word	silent	!	1,1	1,1994	1900
AH01	ring	picture	aloud	aloud	0	0,5407	800
AH01	ring	picture	aloud	ring	0,5407	0,8581	1341
AH01	ring	picture	aloud	!	0,8581	1,2064	1658
AH01	rolstoel	picture	silent	silent	0	0,2	800
AH01	rolstoel	picture	silent	rolstoel	0,2	1,1	1000
AH01	rolstoel	picture	silent	!	1,1	1,2067	1900
AH01	roltrap	picture+word	aloud	aloud	0	0,4469	800
AH01	roltrap	picture+word	aloud	roltrap	0,4469	1,0059	1247
AH01	roltrap	picture+word	aloud	!	1,0059	1,2047	1806
AH01	saxofoon	picture+word	aloud	aloud	0	0,3935	800
AH01	saxofoon	picture+word	aloud	saxofoon	0,3935	1,0739	1194
AH01	saxofoon	picture+word	aloud	!	1,0739	1,208	1874
AH01	schaakspel	picture+word	aloud	aloud	0	0,4252	800
AH01	schaakspel	picture+word	aloud	schaakspel	0,4252	1,1411	1225
AH01	schaakspel	picture+word	aloud	!	1,1411	1,2076	1941
