Subject	Dutch_name	Stimulus_type	Response_type	label	onset	offset	Real_onset
AH02	kokosnoot	picture+word	aloud	kokosnoot	0,6575	1,1749	1458
AH02	kokosnoot	picture+word	aloud	!	1,1749	1,2081	1975
AH02	kroon	picture	aloud	aloud	0	0,3827	800
AH02	kroon	picture	aloud	kroon	0,3827	0,7589	1183
AH02	kroon	picture	aloud	!	0,7589	1,2052	1559
AH02	kurk	picture+word	aloud	aloud	0	0,3699	800
AH02	kurk	picture+word	aloud	kurk	0,3699	0,8342	1170
AH02	kurk	picture+word	aloud	!	0,8342	1,2079	1634
AH02	kwast	picture+word	aloud	aloud	0	0,4016	800
AH02	kwast	picture+word	aloud	kwast	0,4016	0,9416	1202
