Subject	Trial	ID	Stimulus_status	Stimulus_type	Response_type	File_name	English_name	Dutch_name	Other_A	Other_B	List	Compound	Agreement_percentage	DK_percentage	Lg10WF	Familiarity	Visual_complexity	Manipulability	Letters	Non-word	Correct	Response
AH18	47	1	Target	picture	aloud	feather03a.jpg	feather	veer	n/a	n/a	2	0	100	0	2,179	3,9	2,5	2,2	4	zouteel.png	1	1
AH18	110	2	Target	picture	silent	microwave.jpg	microwave-oven	magnetron	n/a	n/a	2	0	100	0	21,761	4,69	2,19	2,97	9	aanstoren.png	1	1
AH18	30	3	Target	picture+word	aloud	parrot01.jpg	parrot	papegaai	n/a	n/a	2	0	100	0	21,614	4,1	3,19	2,18	8	aardapomp.png	1	1
AH18	6	4	Target	picture+word	silent	ring01.jpg	ring	ring	n/a	n/a	2	0	100	0	33,598	4,3	2,2	3,2	4	aardfer.png	1	1
AH18	35	5	Target	picture	aloud	iceskate.jpg	iceskate	schaats	n/a	n/a	2	0	100	0	14,624	4	3	3,1	7	accordelen.png	1	1
AH18	88	6	Target	picture	silent	sewingmachine01a.jpg	sewing-machine	naaimachine	n/a	n/a	2	1	100	0	12,553	3,9	3,6	2,6	11	afstanijning.png	1	1
AH18	109	7	Target	picture+word	aloud	hammer01.jpg	hammer	hamer	n/a	n/a	2	0	100	0	2,574	4,2	2,2	3,8	5	afwasmidijn.png	1	1
AH18	69	8	Target	picture+word	silent	cigar.jpg	cigar	sigaar	n/a	n/a	2	0	88	13	26,345	4,12	1,7	3,91	6	aluminiumker.png	1	1
AH18	70	9	Target	picture	aloud	ant.jpg	ant	mier	n/a	n/a	2	0	100	0	20,492	4,62	2,67	1,65	4	amanfolile.png	1	1
AH18	92	10	Target	picture	silent	pear01.jpg	pear	peer	n/a	n/a	2	0	100	0	19,445	4,5	2,1	1,5	4	ananijp.png	1	1
AH18	37	11	Target	picture+word	aloud	hen.jpg	chicken	kip	n/a	n/a	2	0	100	0	32,196	4,43	3,12	2,38	3	aner.png	1	1
AH18	102	12	Target	picture+word	silent	shower.jpg	shower	douche	n/a	n/a	2	0	100	0	29,886	4,57	2,69	3,56	6	apijl.png	1	1
AH18	106	13	Target	picture	aloud	paperclip03.jpg	paperclip	paperclip	n/a	n/a	2	1	100	0	14,624	4,5	2	2	9	armbood.png	1	1
AH18	38	14	Target	picture	silent	bridge.jpg	bridge	brug	n/a	n/a	2	0	100	0	32,851	4,52	2,33	2,21	4	aspercado.png	1	1
AH18	34	15	Target	picture+word	aloud	surfboard.jpg	surfboard	surfplank	surfboard	n/a	2	1	50	0	15,682	3,61	1,85	3,38	9	auboog.png	1	1
AH18	15	16	Target	picture+word	silent	barrel01.jpg	barrel	ton	vat	n/a	2	0	75	0	27,789	4,14	2,07	1,76	3	autel.png	1	1
AH18	43	17	Target	picture	aloud	saw02b.jpg	saw	zaag	n/a	n/a	2	0	100	0	21,931	3,7	2,2	4	4	avocijl.png	1	1
AH18	77	18	Target	picture	silent	corn02.jpg	corn	mais	maiskolf	n/a	2	0	63	0	15,315	4,81	2,4	3,15	4	bakdpad.png	1	1
AH18	91	19	Target	picture+word	aloud	tshirt.jpg	t-shirt	t-shirt	shirt	n/a	2	0	88	0	2,525	4,6	1,7	2,9	7	ballaan.png	1	1
AH18	9	20	Target	picture+word	silent	sheep.jpg	sheep	schaap	n/a	n/a	2	0	100	0	24,579	4,43	2,9	2,09	6	bandoster.png	1	1
AH18	75	21	Target	picture	aloud	plate01b.jpg	plate	bord	porcelein	n/a	2	0	88	0	30,774	4,6	1,7	2,4	4	baneister.png	1	1
AH18	104	22	Target	picture	silent	chessboard.jpg	chessboard	schaakspel	schaakbord	n/a	2	1	63	0	14,624	4,2	3,8	2,8	10	banoe.png	1	1
AH18	114	23	Target	picture+word	aloud	celery.jpg	celery	bleekselderij	selderij	bosui	2	0	50	13	0,6021	4,4	2,2	1,5	13	barij.png	1	1
AH18	115	24	Target	picture+word	silent	egg01a.jpg	egg	ei	n/a	n/a	2	0	100	0	28,506	4,24	1,93	2,21	2	baskad.png	1	1
AH18	31	25	Target	picture	aloud	mushroom01.jpg	mushroom	champignon	n/a	n/a	2	0	100	0	11,461	4,6	2,3	1,6	10	batteeer.png	1	1
AH18	13	26	Target	picture	silent	microphone01.jpg	microphone	microfoon	n/a	n/a	2	1	100	0	26,561	4,6	2,26	4,21	9	bedesje.png	1	1
AH18	65	27	Target	picture+word	aloud	helicopter.jpg	helicopter	helikopter	n/a	n/a	2	0	100	0	29,814	4,24	3,45	2,24	10	beered.png	1	1
AH18	101	28	Target	picture+word	silent	glass02a.jpg	glass	beker	n/a	n/a	2	0	100	0	25,855	4,6	1,8	2,2	5	bekil.png	1	1
AH18	48	29	Target	picture	aloud	champagne.jpg	champagne	champagne	fles	n/a	2	0	88	0	31,807	4,3	2,7	3,2	9	bemer.png	1	1
AH18	99	30	Target	picture	silent	mirror02.jpg	mirror	spiegel	n/a	n/a	2	0	100	0	30,795	4,52	2,05	3,32	7	biem.png	1	1
AH18	56	31	Target	picture+word	aloud	lipstick02a.jpg	lipstick	lippenstift	n/a	n/a	2	1	100	0	24,533	4,1	2	4,3	11	bijllom.png	1	1
AH18	127	32	Target	picture+word	silent	boot02b.jpg	boot	laars	n/a	n/a	2	0	100	0	22,648	4,4	2,3	2,8	5	blad.png	1	1
AH18	16	33	Target	picture	aloud	hanger02a.jpg	hanger	kleerhanger	kledinghanger	kapstok	2	1	63	0	1,301	4,5	1,8	2,9	11	bladmuzipper.png	1	1
AH18	21	34	Target	picture	silent	woodenshoe.jpg	clog	klomp	n/a	n/a	2	0	100	0	16,021	3,03	2,07	2,19	5	bleekselijt.png	1	1
AH18	50	35	Target	picture+word	aloud	computermouse06.jpg	computer-mouse	muis	n/a	n/a	2	0	100	0	26,884	4,8	2,6	3,2	4	blendoek.png	1	1
AH18	90	36	Target	picture+word	silent	flag.jpg	flag	vlag	n/a	n/a	2	0	100	0	28,915	4,21	1,83	2,18	4	bloemkerij.png	1	1
AH18	85	37	Target	picture	aloud	endive.jpg	witlof	witlof	kool	n/a	2	0	88	13	0,7782	3,7	2,1	1,6	6	boars.png	1	1
AH18	84	38	Target	picture	silent	dolphin01.jpg	dolphin	dolfijn	n/a	n/a	2	0	100	0	19,243	4,48	2,83	1,82	7	booal.png	1	1
AH18	18	39	Target	picture+word	aloud	hourglass.jpg	hourglass	zandloper	n/a	n/a	2	1	100	0	1,716	3,8	2,8	2,3	9	boort.png	1	1
AH18	124	40	Target	picture+word	silent	moon.jpg	moon	maan	volle_maan	n/a	2	0	88	0	32,653	4,37	2,51	2,27	4	bordpel.png	1	1
AH18	32	41	Target	picture	aloud	panda.jpg	panda	panda	pandabeer	n/a	2	0	75	0	16,335	4,55	3,02	1,85	5	brasp.png	1	1
AH18	44	42	Target	picture	silent	escalator.jpg	escalator	roltrap	n/a	n/a	2	1	100	0	16,128	4,81	2,64	3	7	broli.png	1	1
AH18	53	43	Target	picture+word	aloud	cork02.jpg	cork	kurk	n/a	n/a	2	0	100	0	18,573	4,33	1,57	3	4	broodaat.png	1	1
AH18	72	44	Target	picture+word	silent	lighthouse.jpg	lighthouse	vuurtoren	n/a	n/a	2	1	100	0	21,703	4,1	2,71	1,91	9	broug.png	1	1
AH18	45	45	Target	picture	aloud	zebra.jpg	zebra	zebra	n/a	n/a	2	0	100	0	21,303	4,4	3,05	1,47	5	brozem.png	1	1
AH18	86	46	Target	picture	silent	beerbottle.jpg	beer-bottle	bierflesje	flesje	n/a	2	1	75	0	11,139	4,64	1,55	3,41	10	buder.png	1	1
AH18	5	47	Target	picture+word	aloud	tire.jpg	tire	band	autoband	n/a	2	0	50	0	35,401	4,62	1,6	2,56	4	cactine.png	1	1
AH18	36	48	Target	picture+word	silent	cloud.jpg	cloud	wolk	n/a	n/a	2	0	100	0	23,784	4,74	2,12	2,21	4	cader.png	1	1
AH18	57	49	Target	picture	aloud	wheelchair.jpg	wheelchair	rolstoel	n/a	n/a	2	1	100	0	25,647	4,52	2,79	3,85	8	champakspel.png	1	1
AH18	59	50	Target	picture	silent	hose.jpg	hose	tuinslang	n/a	n/a	2	1	100	0	15,315	4,64	1,93	3,12	9	champiek.png	1	1
AH18	49	51	Target	picture+word	aloud	box01a.jpg	box	doos	n/a	n/a	2	0	100	0	3,224	3,7	2,5	2,7	4	citrla.png	1	1
AH18	41	52	Target	picture+word	silent	asparagus.jpg	asparagus	asperges	n/a	n/a	2	0	100	0	15,911	4	2,3	1,5	8	courgion.png	1	1
AH18	76	53	Target	picture	aloud	lime.jpg	lime	limoen	n/a	n/a	2	0	100	0	18,325	3,7	2,2	1,9	6	cupcassen.png	1	1
AH18	125	54	Target	picture	silent	chimney.jpg	chimney	schoorsteen	n/a	n/a	2	1	100	0	22,788	4,38	2,07	1,82	11	deegreed.png	1	1
AH18	68	55	Target	picture+word	aloud	potato02b.jpg	potato	aardappel	n/a	n/a	2	0	100	0	21,673	4,5	1,9	1,6	9	dienband.png	1	1
AH18	113	56	Target	picture+word	silent	strawberry.jpg	strawberry	aardbei	n/a	n/a	2	0	100	0	18,388	4,6	2,1	1,5	7	dobbelstdel.png	1	1
AH18	120	57	Target	picture	aloud	flashlight02b.jpg	flashlight	zaklamp	n/a	n/a	2	1	100	0	23,483	4,3	2,6	3	7	dolfut.png	1	1
AH18	1	58	Target	picture	silent	microscope.jpg	microscope	microscoop	n/a	n/a	2	1	100	0	19,294	3,8	3,6	3,5	10	donstel.png	1	1
AH18	66	59	Target	picture+word	aloud	balloon01b.jpg	balloon	ballon	n/a	n/a	2	0	100	0	23,655	4,4	1,9	3,3	6	doses.png	1	1
AH18	7	60	Target	picture+word	silent	pencil01.jpg	pencil	potlood	n/a	n/a	2	0	100	0	23,784	4,7	1,9	3,5	7	douceef.png	1	1
AH18	23	61	Target	picture	aloud	bowl01.jpg	bowl	schaal	kom	n/a	2	0	75	0	26,304	4,4	2,1	1,8	6	drumstape.png	1	1
AH18	28	62	Target	picture	silent	cane.jpg	cane	wandelstok	kruk	n/a	2	1	88	0	15,441	3,5	2,3	3,7	10	ductor.png	1	1
AH18	112	63	Target	picture+word	aloud	stapler03a.jpg	stapler	nietmachine	n/a	n/a	2	1	100	0	15,315	4,5	2,3	3,5	11	eigine.png	1	1
AH18	103	64	Target	picture+word	silent	ginger.jpg	ginger	gember	knol	n/a	2	0	88	0	15,315	3,8	2,2	1,4	6	ellebant.png	1	1
AH18	62	65	Target	picture	aloud	spoon01.jpg	spoon	lepel	theelepel	n/a	2	0	88	0	23,424	4,6	2,3	3,4	5	emus.png	1	1
AH18	107	66	Target	picture	silent	saxophone.jpg	saxophone	saxofoon	n/a	n/a	2	0	100	0	16,435	4,19	3,21	4,18	8	envelum.png	1	1
AH18	42	67	Target	picture+word	aloud	ducttape.jpg	duct-tape	ductape	tape	n/a	2	0	75	0	0,301	4,55	1,79	2,97	7	famer.png	1	1
AH18	105	68	Target	picture+word	silent	broccoli01a.jpg	broccoli	broccoli	n/a	n/a	2	0	100	0	20,682	4,7	2,7	1,3	8	fietijker.png	1	1
AH18	96	69	Target	picture	aloud	boxcutter03a.jpg	boxcutter	stanleymes	mesje	n/a	2	1	88	0	0,9031	4,2	2,9	2,8	10	fietspoen.png	1	2
AH18	89	70	Target	picture	silent	onion.jpg	onion	ui	n/a	n/a	2	0	100	0	20,128	4,6	2,2	2	2	frambesje.png	1	1
AH18	111	71	Target	picture+word	aloud	axe01.jpg	axe	bijl	hakbijl	n/a	2	0	88	0	26,085	3,7	2,4	4	4	frechter.png	1	1
AH18	8	72	Target	picture+word	silent	table01.jpg	table	tafel	n/a	n/a	2	0	100	0	35,621	4,79	1,71	2,88	5	garlen.png	1	1
AH18	33	73	Target	picture	aloud	funnel.jpg	funnel	trechter	vergiet	n/a	2	0	88	0	13,802	4,63	1,59	2,71	8	gembaffe.png	1	1
AH18	71	74	Target	picture	silent	sieve01b.jpg	sieve	zeef	vergiet	n/a	2	0	75	13	1,415	4,2	2,3	2,2	4	gewstoel.png	1	1
AH18	25	75	Target	picture+word	aloud	watermelon01.jpg	watermelon	watermeloen	meloen	n/a	2	0	75	0	18,808	4,6	2,2	2,2	11	giraker.png	1	1
AH18	29	76	Target	picture+word	silent	steeringwheel.jpg	steering-wheel	stuur	n/a	n/a	2	0	100	0	37,037	4,76	2,15	4,32	5	gohn.png	1	1
AH18	74	77	Target	picture	aloud	kite.jpg	kite	vlieger	n/a	n/a	2	0	100	0	22,227	4,43	2,1	3,71	7	gutrap.png	1	1
AH18	123	78	Target	picture	silent	zucchini01.jpg	zucchini	courgette	n/a	n/a	2	0	100	0	12,041	4,4	2	1,5	9	haap.png	1	1
AH18	14	79	Target	picture+word	aloud	paintbrush01.jpg	paintbrush	kwast	n/a	n/a	2	0	100	0	18,808	4,1	2,5	3,5	5	haard.png	1	1
AH18	121	80	Target	picture+word	silent	carrot01.jpg	carrot	wortel	n/a	n/a	2	0	100	0	24,281	4,4	1,9	2,1	6	hamoeien.png	1	1
