Subject	Trial	ID	Stimulus_status	Stimulus_type	Response_type	File_name	English_name	Dutch_name	Other_A	Other_B	List	Compound	Agreement_percentage	DK_percentage	Lg10WF	Familiarity	Visual_complexity	Manipulability	Letters	Non-word	Correct	Response
AH04	97	1	Target	picture+word	aloud	feather03a.jpg	feather	veer	n/a	n/a	4	0	100	0	2,179	3,9	2,5	2,2	4	zouteel.png	1	1
AH04	122	2	Target	picture+word	silent	microwave.jpg	microwave-oven	magnetron	n/a	n/a	4	0	100	0	2,1761	4,69	2,19	2,97	9	aanstoren.png	1	1
AH04	120	3	Target	picture	aloud	parrot01.jpg	parrot	papegaai	n/a	n/a	4	0	100	0	2,1614	4,1	3,19	2,18	8	aardapomp.png	1	1
AH04	54	4	Target	picture	silent	ring01.jpg	ring	ring	n/a	n/a	4	0	100	0	3,3598	4,3	2,2	3,2	4	aardfer.png	1	1
AH04	48	5	Target	picture+word	aloud	iceskate.jpg	iceskate	schaats	n/a	n/a	4	0	100	0	1,4624	4	3	3,1	7	accordelen.png	1	1
AH04	102	6	Target	picture+word	silent	sewingmachine01a.jpg	sewing-machine	naaimachine	n/a	n/a	4	1	100	0	1,2553	3,9	3,6	2,6	11	afstanijning.png	1	1
AH04	36	7	Target	picture	aloud	hammer01.jpg	hammer	hamer	n/a	n/a	4	0	100	0	2,574	4,2	2,2	3,8	5	afwasmidijn.png	1	1
AH04	26	8	Target	picture	silent	cigar.jpg	cigar	sigaar	n/a	n/a	4	0	88	13	2,6345	4,12	1,7	3,91	6	aluminiumker.png	1	1
AH04	80	9	Target	picture+word	aloud	ant.jpg	ant	mier	n/a	n/a	4	0	100	0	2,0492	4,62	2,67	1,65	4	amanfolile.png	1	1
AH04	65	10	Target	picture+word	silent	pear01.jpg	pear	peer	n/a	n/a	4	0	100	0	1,9445	4,5	2,1	1,5	4	ananijp.png	1	1
AH04	119	11	Target	picture	aloud	hen.jpg	chicken	kip	n/a	n/a	4	0	100	0	3,2196	4,43	3,12	2,38	3	aner.png	1	1
AH04	5	12	Target	picture	silent	shower.jpg	shower	douche	n/a	n/a	4	0	100	0	2,9886	4,57	2,69	3,56	6	apijl.png	1	1
AH04	115	13	Target	picture+word	aloud	paperclip03.jpg	paperclip	paperclip	n/a	n/a	4	1	100	0	1,4624	4,5	2	2	9	armbood.png	1	1
AH04	106	14	Target	picture+word	silent	bridge.jpg	bridge	brug	n/a	n/a	4	0	100	0	3,2851	4,52	2,33	2,21	4	aspercado.png	1	1
AH04	51	15	Target	picture	aloud	surfboard.jpg	surfboard	surfplank	surfboard	n/a	4	1	50	0	1,5682	3,61	1,85	3,38	9	auboog.png	1	2
