Subject	Trial	ID	Stimulus_status	Stimulus_type	Response_type	File_name	English_name	Dutch_name	Other_A	Other_B	List	Compound	Agreement_percentage	DK_percentage	Lg10WF	Familiarity	Visual_complexity	Manipulability	Letters	Non-word	Target_button	Response_button	Correct	RT	Repeated
AH16	54	1	Foils	picture+word	aloud	feather03a.jpg	feather	veer	n/a	n/a	8	0	100	0	"2,179"	"3,9"	"2,5"	"2,2"	4	zouteel.png	2	2	1	997	0
AH16	254	2	Foils	picture+word	silent	microwave.jpg	microwave-oven	magnetron	n/a	n/a	8	0	100	0	"21,761"	"4,69"	"2,19"	"2,97"	9	aanstoren.png	2	2	1	1198	0
AH16	158	3	Foils	picture	aloud	parrot01.jpg	parrot	papegaai	n/a	n/a	8	0	100	0	"21,614"	"4,1"	"3,19"	"2,18"	8	aardapomp.png	2	2	1	1394	0
AH16	16	4	Foils	picture	silent	ring01.jpg	ring	ring	n/a	n/a	8	0	100	0	"33,598"	"4,3"	"2,2"	"3,2"	4	aardfer.png	2	2	1	821	0
AH16	7	5	Foils	picture+word	aloud	iceskate.jpg	iceskate	schaats	n/a	n/a	8	0	100	0	"14,624"	4	3	"3,1"	7	accordelen.png	2	2	1	1281	0
AH16	96	6	Foils	picture+word	silent	sewingmachine01a.jpg	sewing-machine	naaimachine	n/a	n/a	8	1	100	0	"12,553"	"3,9"	"3,6"	"2,6"	11	afstanijning.png	2	2	1	1812	0
AH16	231	7	Foils	picture	aloud	hammer01.jpg	hammer	hamer	n/a	n/a	8	0	100	0	"2,574"	"4,2"	"2,2"	"3,8"	5	afwasmidijn.png	2	1	0	2387	0
AH16	53	8	Foils	picture	silent	cigar.jpg	cigar	sigaar	n/a	n/a	8	0	88	13	"26,345"	"4,12"	"1,7"	"3,91"	6	aluminiumker.png	2	2	1	860	0
AH16	131	9	Foils	picture+word	aloud	ant.jpg	ant	mier	n/a	n/a	8	0	100	0	"20,492"	"4,62"	"2,67"	"1,65"	4	amanfolile.png	2	2	1	995	0
AH16	127	10	Foils	picture+word	silent	pear01.jpg	pear	peer	n/a	n/a	8	0	100	0	"19,445"	"4,5"	"2,1"	"1,5"	4	ananijp.png	2	2	1	771	0
AH16	236	11	Foils	picture	aloud	hen.jpg	chicken	kip	n/a	n/a	8	0	100	0	"32,196"	"4,43"	"3,12"	"2,38"	3	aner.png	2	2	1	1124	0
AH16	121	12	Foils	picture	silent	shower.jpg	shower	douche	n/a	n/a	8	0	100	0	"29,886"	"4,57"	"2,69"	"3,56"	6	apijl.png	2	2	1	821	0
AH16	70	13	Foils	picture+word	aloud	paperclip03.jpg	paperclip	paperclip	n/a	n/a	8	1	100	0	"14,624"	"4,5"	2	2	9	armbood.png	2	2	1	845	0
AH16	148	14	Foils	picture+word	silent	bridge.jpg	bridge	brug	n/a	n/a	8	0	100	0	"32,851"	"4,52"	"2,33"	"2,21"	4	aspercado.png	2	2	1	842	0
AH16	189	15	Foils	picture	aloud	surfboard.jpg	surfboard	surfplank	surfboard	n/a	8	1	50	0	"15,682"	"3,61"	"1,85"	"3,38"	9	auboog.png	2	2	1	1217	0
