Subject	Trial	ID	Stimulus_status	Stimulus_type	Response_type	File_name	English_name	Dutch_name	Other_A	Other_B	List	Compound	Agreement_percentage	DK_percentage	Lg10WF	Familiarity	Visual_complexity	Manipulability	Letters	Non-word	Target_button	Response_button	Correct	RT	Repeated
AH40	156	1	Foils	picture+word	aloud	feather03a.jpg	feather	veer	n/a	n/a	8	0	100	0	"2,179"	"3,9"	"2,5"	"2,2"	4	zouteel.png	2	2	1	741	0
AH40	181	2	Foils	picture+word	silent	microwave.jpg	microwave-oven	magnetron	n/a	n/a	8	0	100	0	"21,761"	"4,69"	"2,19"	"2,97"	9	aanstoren.png	2	2	1	970	0
AH40	176	3	Foils	picture	aloud	parrot01.jpg	parrot	papegaai	n/a	n/a	8	0	100	0	"21,614"	"4,1"	"3,19"	"2,18"	8	aardapomp.png	2	2	1	672	0
AH40	140	4	Foils	picture	silent	ring01.jpg	ring	ring	n/a	n/a	8	0	100	0	"33,598"	"4,3"	"2,2"	"3,2"	4	aardfer.png	2	2	1	769	0
AH40	131	5	Foils	picture+word	aloud	iceskate.jpg	iceskate	schaats	n/a	n/a	8	0	100	0	"14,624"	4	3	"3,1"	7	accordelen.png	2	2	1	1301	0
AH40	80	6	Foils	picture+word	silent	sewingmachine01a.jpg	sewing-machine	naaimachine	n/a	n/a	8	1	100	0	"12,553"	"3,9"	"3,6"	"2,6"	11	afstanijning.png	2	2	1	631	0
AH40	248	7	Foils	picture	aloud	hammer01.jpg	hammer	hamer	n/a	n/a	8	0	100	0	"2,574"	"4,2"	"2,2"	"3,8"	5	afwasmidijn.png	2	2	1	768	0
AH40	161	8	Foils	picture	silent	cigar.jpg	cigar	sigaar	n/a	n/a	8	0	88	13	"26,345"	"4,12"	"1,7"	"3,91"	6	aluminiumker.png	2	2	1	800	0
AH40	186	9	Foils	picture+word	aloud	ant.jpg	ant	mier	n/a	n/a	8	0	100	0	"20,492"	"4,62"	"2,67"	"1,65"	4	amanfolile.png	2	2	1	635	0
AH40	175	10	Foils	picture+word	silent	pear01.jpg	pear	peer	n/a	n/a	8	0	100	0	"19,445"	"4,5"	"2,1"	"1,5"	4	ananijp.png	2	2	1	737	0
AH40	94	11	Foils	picture	aloud	hen.jpg	chicken	kip	n/a	n/a	8	0	100	0	"32,196"	"4,43"	"3,12"	"2,38"	3	aner.png	2	2	1	831	0
AH40	242	12	Foils	picture	silent	shower.jpg	shower	douche	n/a	n/a	8	0	100	0	"29,886"	"4,57"	"2,69"	"3,56"	6	apijl.png	2	2	1	903	0
AH40	229	13	Foils	picture+word	aloud	paperclip03.jpg	paperclip	paperclip	n/a	n/a	8	1	100	0	"14,624"	"4,5"	2	2	9	armbood.png	2	2	1	1066	0
AH40	87	14	Foils	picture+word	silent	bridge.jpg	bridge	brug	n/a	n/a	8	0	100	0	"32,851"	"4,52"	"2,33"	"2,21"	4	aspercado.png	2	2	1	632	0
AH40	6	15	Foils	picture	aloud	surfboard.jpg	surfboard	surfplank	surfboard	n/a	8	1	50	0	"15,682"	"3,61"	"1,85"	"3,38"	9	auboog.png	2	2	1	1297	0
AH40	212	16	Foils	picture	silent	barrel01.jpg	barrel	ton	vat	n/a	8	0	75	0	"27,789"	"4,14"	"2,07"	"1,76"	3	autel.png	2	2	1	764	0
AH40	21	17	Foils	picture+word	aloud	saw02b.jpg	saw	zaag	n/a	n/a	8	0	100	0	"21,931"	"3,7"	"2,2"	4	4	avocijl.png	2	2	1	4593	0
AH40	141	18	Foils	picture+word	silent	corn02.jpg	corn	mais	maiskolf	n/a	8	0	63	0	"15,315"	"4,81"	"2,4"	"3,15"	4	bakdpad.png	2	2	1	639	0
AH40	232	19	Foils	picture	aloud	tshirt.jpg	t-shirt	t-shirt	shirt	n/a	8	0	88	0	"2,525"	"4,6"	"1,7"	"2,9"	7	ballaan.png	2	2	1	925	0
AH40	223	20	Foils	picture	silent	sheep.jpg	sheep	schaap	n/a	n/a	8	0	100	0	"24,579"	"4,43"	"2,9"	"2,09"	6	bandoster.png	2	2	1	688	0
AH40	100	21	Foils	picture+word	aloud	plate01b.jpg	plate	bord	porcelein	n/a	8	0	88	0	"30,774"	"4,6"	"1,7"	"2,4"	4	baneister.png	2	2	1	1090	0
AH40	10	22	Foils	picture+word	silent	chessboard.jpg	chessboard	schaakspel	schaakbord	n/a	8	1	63	0	"14,624"	"4,2"	"3,8"	"2,8"	10	banoe.png	2	2	1	1398	0
AH40	185	23	Foils	picture	aloud	celery.jpg	celery	bleekselderij	selderij	bosui	8	0	50	13	"0,6021"	"4,4"	"2,2"	"1,5"	13	barij.png	2	2	1	5972	0
AH40	166	24	Foils	picture	silent	egg01a.jpg	egg	ei	n/a	n/a	8	0	100	0	"28,506"	"4,24"	"1,93"	"2,21"	2	baskad.png	2	2	1	2644	0
AH40	211	25	Foils	picture+word	aloud	mushroom01.jpg	mushroom	champignon	n/a	n/a	8	0	100	0	"11,461"	"4,6"	"2,3"	"1,6"	10	batteeer.png	2	2	1	816	0
AH40	105	26	Foils	picture+word	silent	microphone01.jpg	microphone	microfoon	n/a	n/a	8	1	100	0	"26,561"	"4,6"	"2,26"	"4,21"	9	bedesje.png	2	2	1	842	0
AH40	234	27	Foils	picture	aloud	helicopter.jpg	helicopter	helikopter	n/a	n/a	8	0	100	0	"29,814"	"4,24"	"3,45"	"2,24"	10	beered.png	2	2	1	1307	0
AH40	201	28	Foils	picture	silent	glass02a.jpg	glass	beker	n/a	n/a	8	0	100	0	"25,855"	"4,6"	"1,8"	"2,2"	5	bekil.png	2	2	1	714	0
AH40	90	29	Foils	picture+word	aloud	champagne.jpg	champagne	champagne	fles	n/a	8	0	88	0	"31,807"	"4,3"	"2,7"	"3,2"	9	bemer.png	2	2	1	2806	0
AH40	11	30	Foils	picture+word	silent	mirror02.jpg	mirror	spiegel	n/a	n/a	8	0	100	0	"30,795"	"4,52"	"2,05"	"3,32"	7	biem.png	2	2	1	1012	0
AH40	240	31	Foils	picture	aloud	lipstick02a.jpg	lipstick	lippenstift	n/a	n/a	8	1	100	0	"24,533"	"4,1"	2	"4,3"	11	bijllom.png	2	2	1	916	0
AH40	47	32	Foils	picture	silent	boot02b.jpg	boot	laars	n/a	n/a	8	0	100	0	"22,648"	"4,4"	"2,3"	"2,8"	5	blad.png	2	2	1	1181	0
AH40	183	33	Foils	picture+word	aloud	hanger02a.jpg	hanger	kleerhanger	kledinghanger	kapstok	8	1	63	0	"1,301"	"4,5"	"1,8"	"2,9"	11	bladmuzipper.png	2	2	1	964	0
AH40	196	34	Foils	picture+word	silent	woodenshoe.jpg	clog	klomp	n/a	n/a	8	0	100	0	"16,021"	"3,03"	"2,07"	"2,19"	5	bleekselijt.png	2	2	1	766	0
AH40	38	35	Foils	picture	aloud	computermouse06.jpg	computer-mouse	muis	n/a	n/a	8	0	100	0	"26,884"	"4,8"	"2,6"	"3,2"	4	blendoek.png	2	2	1	2763	0
AH40	220	36	Foils	picture	silent	flag.jpg	flag	vlag	n/a	n/a	8	0	100	0	"28,915"	"4,21"	"1,83"	"2,18"	4	bloemkerij.png	2	2	1	1049	0
