Subject	Trial	ID	Stimulus_status	Stimulus_type	Response_type	File_name	English_name	Dutch_name	Other_A	Other_B	List	Compound	Agreement_percentage	DK_percentage	Lg10WF	Familiarity	Visual_complexity	Manipulability	Letters	Non-word	Target_button	Response_button	Correct	RT	Repeated
AH28	99	1	Target	picture+word	aloud	feather03a.jpg	feather	veer	n/a	n/a	4	0	100	0	"2,179"	"3,9"	"2,5"	"2,2"	4	zouteel.png	1	1	1	883	0
AH28	151	2	Target	picture+word	silent	microwave.jpg	microwave-oven	magnetron	n/a	n/a	4	0	100	0	"21,761"	"4,69"	"2,19"	"2,97"	9	aanstoren.png	1	2	0	1246	0
AH28	231	3	Target	picture	aloud	parrot01.jpg	parrot	papegaai	n/a	n/a	4	0	100	0	"21,614"	"4,1"	"3,19"	"2,18"	8	aardapomp.png	1	1	1	788	0
AH28	57	4	Target	picture	silent	ring01.jpg	ring	ring	n/a	n/a	4	0	100	0	"33,598"	"4,3"	"2,2"	"3,2"	4	aardfer.png	1	1	1	675	0
AH28	13	5	Target	picture+word	aloud	iceskate.jpg	iceskate	schaats	n/a	n/a	4	0	100	0	"14,624"	4	3	"3,1"	7	accordelen.png	1	1	1	859	0
AH28	172	6	Target	picture+word	silent	sewingmachine01a.jpg	sewing-machine	naaimachine	n/a	n/a	4	1	100	0	"12,553"	"3,9"	"3,6"	"2,6"	11	afstanijning.png	1	1	1	822	0
AH28	208	7	Target	picture	aloud	hammer01.jpg	hammer	hamer	n/a	n/a	4	0	100	0	"2,574"	"4,2"	"2,2"	"3,8"	5	afwasmidijn.png	1	1	1	647	0
AH28	42	8	Target	picture	silent	cigar.jpg	cigar	sigaar	n/a	n/a	4	0	88	13	"26,345"	"4,12"	"1,7"	"3,91"	6	aluminiumker.png	1	1	1	749	0
AH28	117	9	Target	picture+word	aloud	ant.jpg	ant	mier	n/a	n/a	4	0	100	0	"20,492"	"4,62"	"2,67"	"1,65"	4	amanfolile.png	1	2	0	701	0
AH28	12	10	Target	picture+word	silent	pear01.jpg	pear	peer	n/a	n/a	4	0	100	0	"19,445"	"4,5"	"2,1"	"1,5"	4	ananijp.png	1	1	1	1474	0
AH28	31	11	Target	picture	aloud	hen.jpg	chicken	kip	n/a	n/a	4	0	100	0	"32,196"	"4,43"	"3,12"	"2,38"	3	aner.png	1	1	1	1705	0
AH28	123	12	Target	picture	silent	shower.jpg	shower	douche	n/a	n/a	4	0	100	0	"29,886"	"4,57"	"2,69"	"3,56"	6	apijl.png	1	1	1	750	0
AH28	2	13	Target	picture+word	aloud	paperclip03.jpg	paperclip	paperclip	n/a	n/a	4	1	100	0	"14,624"	"4,5"	2	2	9	armbood.png	1	2	0	1122	0
AH28	167	14	Target	picture+word	silent	bridge.jpg	bridge	brug	n/a	n/a	4	0	100	0	"32,851"	"4,52"	"2,33"	"2,21"	4	aspercado.png	1	1	1	638	0
AH28	70	15	Target	picture	aloud	surfboard.jpg	surfboard	surfplank	surfboard	n/a	4	1	50	0	"15,682"	"3,61"	"1,85"	"3,38"	9	auboog.png	1	1	1	679	0
AH28	163	16	Target	picture	silent	barrel01.jpg	barrel	ton	vat	n/a	4	0	75	0	"27,789"	"4,14"	"2,07"	"1,76"	3	autel.png	1	1	1	788	0
AH28	175	17	Target	picture+word	aloud	saw02b.jpg	saw	zaag	n/a	n/a	4	0	100	0	"21,931"	"3,7"	"2,2"	4	4	avocijl.png	1	1	1	761	0
AH28	59	18	Target	picture+word	silent	corn02.jpg	corn	mais	maiskolf	n/a	4	0	63	0	"15,315"	"4,81"	"2,4"	"3,15"	4	bakdpad.png	1	1	1	1115	0
AH28	106	19	Target	picture	aloud	tshirt.jpg	t-shirt	t-shirt	shirt	n/a	4	0	88	0	"2,525"	"4,6"	"1,7"	"2,9"	7	ballaan.png	1	1	1	798	0
AH28	247	20	Target	picture	silent	sheep.jpg	sheep	schaap	n/a	n/a	4	0	100	0	"24,579"	"4,43"	"2,9"	"2,09"	6	bandoster.png	1	1	1	608	0
AH28	200	21	Target	picture+word	aloud	plate01b.jpg	plate	bord	porcelein	n/a	4	0	88	0	"30,774"	"4,6"	"1,7"	"2,4"	4	baneister.png	1	2	0	858	0
AH28	96	22	Target	picture+word	silent	chessboard.jpg	chessboard	schaakspel	schaakbord	n/a	4	1	63	0	"14,624"	"4,2"	"3,8"	"2,8"	10	banoe.png	1	1	1	676	0
AH28	22	23	Target	picture	aloud	celery.jpg	celery	bleekselderij	selderij	bosui	4	0	50	13	"0,6021"	"4,4"	"2,2"	"1,5"	13	barij.png	1	1	1	730	0
AH28	132	24	Target	picture	silent	egg01a.jpg	egg	ei	n/a	n/a	4	0	100	0	"28,506"	"4,24"	"1,93"	"2,21"	2	baskad.png	1	1	1	610	0
AH28	206	25	Target	picture+word	aloud	mushroom01.jpg	mushroom	champignon	n/a	n/a	4	0	100	0	"11,461"	"4,6"	"2,3"	"1,6"	10	batteeer.png	1	2	0	822	0
AH28	1	26	Target	picture+word	silent	microphone01.jpg	microphone	microfoon	n/a	n/a	4	1	100	0	"26,561"	"4,6"	"2,26"	"4,21"	9	bedesje.png	1	1	1	4406	0
AH28	143	27	Target	picture	aloud	helicopter.jpg	helicopter	helikopter	n/a	n/a	4	0	100	0	"29,814"	"4,24"	"3,45"	"2,24"	10	beered.png	1	1	1	885	0
AH28	35	28	Target	picture	silent	glass02a.jpg	glass	beker	n/a	n/a	4	0	100	0	"25,855"	"4,6"	"1,8"	"2,2"	5	bekil.png	1	1	1	732	0
AH28	91	29	Target	picture+word	aloud	champagne.jpg	champagne	champagne	fles	n/a	4	0	88	0	"31,807"	"4,3"	"2,7"	"3,2"	9	bemer.png	1	2	0	727	0
AH28	238	30	Target	picture+word	silent	mirror02.jpg	mirror	spiegel	n/a	n/a	4	0	100	0	"30,795"	"4,52"	"2,05"	"3,32"	7	biem.png	1	2	0	549	0
AH28	170	31	Target	picture	aloud	lipstick02a.jpg	lipstick	lippenstift	n/a	n/a	4	1	100	0	"24,533"	"4,1"	2	"4,3"	11	bijllom.png	1	1	1	661	0
AH28	56	32	Target	picture	silent	boot02b.jpg	boot	laars	n/a	n/a	4	0	100	0	"22,648"	"4,4"	"2,3"	"2,8"	5	blad.png	1	1	1	792	0
AH28	95	33	Target	picture+word	aloud	hanger02a.jpg	hanger	kleerhanger	kledinghanger	kapstok	4	1	63	0	"1,301"	"4,5"	"1,8"	"2,9"	11	bladmuzipper.png	1	2	0	608	0
AH28	166	34	Target	picture+word	silent	woodenshoe.jpg	clog	klomp	n/a	n/a	4	0	100	0	"16,021"	"3,03"	"2,07"	"2,19"	5	bleekselijt.png	1	1	1	742	0
AH28	50	35	Target	picture	aloud	computermouse06.jpg	computer-mouse	muis	n/a	n/a	4	0	100	0	"26,884"	"4,8"	"2,6"	"3,2"	4	blendoek.png	1	1	1	622	0
AH28	127	36	Target	picture	silent	flag.jpg	flag	vlag	n/a	n/a	4	0	100	0	"28,915"	"4,21"	"1,83"	"2,18"	4	bloemkerij.png	1	1	1	902	0
AH28	185	37	Target	picture+word	aloud	endive.jpg	witlof	witlof	kool	n/a	4	0	88	13	"0,7782"	"3,7"	"2,1"	"1,6"	6	boars.png	1	1	1	622	0
AH28	216	38	Target	picture+word	silent	dolphin01.jpg	dolphin	dolfijn	n/a	n/a	4	0	100	0	"19,243"	"4,48"	"2,83"	"1,82"	7	booal.png	1	1	1	718	0
AH28	24	39	Target	picture	aloud	hourglass.jpg	hourglass	zandloper	n/a	n/a	4	1	100	0	"1,716"	"3,8"	"2,8"	"2,3"	9	boort.png	1	1	1	642	0
AH28	192	40	Target	picture	silent	moon.jpg	moon	maan	volle_maan	n/a	4	0	88	0	"32,653"	"4,37"	"2,51"	"2,27"	4	bordpel.png	1	1	1	763	0
AH28	93	41	Target	picture+word	aloud	panda.jpg	panda	panda	pandabeer	n/a	4	0	75	0	"16,335"	"4,55"	"3,02"	"1,85"	5	brasp.png	1	1	1	532	0
AH28	69	42	Target	picture+word	silent	escalator.jpg	escalator	roltrap	n/a	n/a	4	1	100	0	"16,128"	"4,81"	"2,64"	3	7	broli.png	1	2	0	1588	0
