Subject	Dutch_name	Stimulus_type	Response_type	label	onset	offset	Real_onset	onset_ms
AH37	haai	picture+word	aloud	haai	0.36	0.74	1157	357
AH37	haai	picture+word	aloud	!	0.74	12067	1538	738
AH37	hek	picture	silent	silent	0	0.2	800	0
AH37	hek	picture	silent	hek	0.2	1.1	1000	200
AH37	hek	picture	silent	!	1.1	12014	1900	1100
AH37	helm	picture	aloud	aloud	0	0.29	800	0
AH37	helm	picture	aloud	helm	0.29	0.63	1086	286
AH37	helm	picture	aloud	!	0.63	12032	1429	629
AH37	horloge	picture+word	aloud	aloud	0	0.37	800	0
AH37	horloge	picture+word	aloud	horloge	0.37	0.81	1174	374
AH37	horloge	picture+word	aloud	!	0.81	12041	1605	805
AH37	kanon	picture	silent	silent	0	0.2	800	0
AH37	kanon	picture	silent	kanon	0.2	1.1	1000	200
AH37	kanon	picture	silent	!	1.1	1208	1900	1100
AH37	kapstok	picture+word	silent	silent	0	0.2	800	0
AH37	kapstok	picture+word	silent	kapstok	0.2	1.1	1000	200
AH37	kapstok	picture+word	silent	!	1.1	12034	1900	1100
AH37	kat	picture	silent	silent	0	0.2	800	0
AH37	kat	picture	silent	kat	0.2	1.1	1000	200
AH37	kat	picture	silent	!	1.1	12074	1900	1100
AH37	kegel	picture+word	aloud	aloud	0	0.42	800	0
AH37	kegel	picture+word	aloud	kegel	0.42	0.83	1221	421
AH37	kegel	picture+word	aloud	!	0.83	12048	1633	833
AH37	ketting	picture	silent	silent	0	0.2	800	0
AH37	ketting	picture	silent	ketting	0.2	1.1	1000	200
AH37	ketting	picture	silent	!	1.1	12045	1900	1100
AH37	kleed	picture	silent	silent	0	0.2	800	0
AH37	kleed	picture	silent	kleed	0.2	1.1	1000	200
AH37	kleed	picture	silent	!	1.1	12064	1900	1100
AH37	kluis	picture+word	silent	silent	0	0.2	800	0
AH37	kluis	picture+word	silent	kluis	0.2	1.1	1000	200
AH37	kluis	picture+word	silent	!	1.1	12001	1900	1100
AH37	knie	picture	silent	silent	0	0.2	800	0
AH37	knie	picture	silent	knie	0.2	1.1	1000	200
AH37	knie	picture	silent	!	1.1	12019	1900	1100
AH37	knoflook	picture+word	silent	silent	0	0.2	800	0
AH37	knoflook	picture+word	silent	knoflook	0.2	1.1	1000	200
AH37	knoflook	picture+word	silent	!	1.1	12033	1900	1100
AH37	koe	picture	aloud	aloud	0	0.46	800	0
AH37	koe	picture	aloud	koe	0.46	0.68	1263	463
AH37	koe	picture	aloud	!	0.68	12032	1484	684
AH37	koffer	picture+word	aloud	aloud	0	0.42	800	0
AH37	koffer	picture+word	aloud	koffer	0.42	0.77	1218	418
AH37	koffer	picture+word	aloud	!	0.77	12065	1569	769
AH37	koffiebonen	picture+word	silent	silent	0	0.2	800	0
AH37	koffiebonen	picture+word	silent	koffiebonen	0.2	1.1	1000	200
AH37	koffiebonen	picture+word	silent	!	1.1	12063	1900	1100
AH37	komkommer	picture	silent	silent	0	0.2	800	0
AH37	komkommer	picture	silent	komkommer	0.2	1.1	1000	200
AH37	komkommer	picture	silent	!	1.1	12014	1900	1100
AH37	koptelefoon	picture+word	aloud	aloud	0	0.43	800	0
AH37	koptelefoon	picture+word	aloud	koptelefoon	0.43	10137	1227	427
AH37	koptelefoon	picture+word	aloud	!	1.01	11998	1814	1014
AH37	krijt	picture+word	silent	silent	0	0.2	800	0
AH37	krijt	picture+word	silent	krijt	0.2	1.1	1000	200
AH37	krijt	picture+word	silent	!	1.1	12041	1900	1100
AH37	kruk	picture+word	silent	silent	0	0.2	800	0
AH37	kruk	picture+word	silent	kruk	0.2	1.1	1000	200
AH37	kruk	picture+word	silent	!	1.1	12041	1900	1100
AH37	kussen	picture	silent	silent	0	0.2	800	0
AH37	kussen	picture	silent	kussen	0.2	1.1	1000	200
AH37	kussen	picture	silent	!	1.1	12033	1900	1100
AH37	laptop	picture	aloud	aloud	0	0.4	800	0
AH37	laptop	picture	aloud	laptop	0.4	0.84	1203	403
AH37	laptop	picture	aloud	!	0.84	12061	1639	839
AH37	lieveheersbeestje	picture	aloud	aloud	0	0.42	800	0
AH37	lieveheersbeestje	picture	aloud	lieveheersbeestje	0.42	10974	1223	423
AH37	lieveheersbeestje	picture	aloud	!	1.1	12037	1897	1097
AH37	loopband	picture	aloud	aloud	0	0.99	800	0
AH37	loopband	picture	aloud	loopband	0.99	11757	1791	991
AH37	loopband	picture	aloud	!	1.18	12072	1976	1176
AH37	lucifer	picture+word	silent	silent	0	0.2	800	0
AH37	lucifer	picture+word	silent	lucifer	0.2	1.1	1000	200
AH37	lucifer	picture+word	silent	!	1.1	11999	1900	1100
AH37	matras	picture	aloud	aloud	0	0.32	800	0
AH37	matras	picture	aloud	matras	0.32	0.85	1123	323
AH37	matras	picture	aloud	!	0.85	12045	1651	851
AH37	medaille	picture+word	aloud	aloud	0	0.45	800	0
AH37	medaille	picture+word	aloud	medaille	0.45	0.86	1248	448
AH37	medaille	picture+word	aloud	!	0.86	12073	1664	864
AH37	mok	picture+word	aloud	aloud	0	0.36	800	0
AH37	mok	picture+word	aloud	mok	0.36	0.63	1163	363
AH37	mok	picture+word	aloud	!	0.63	1.2	1427	627
AH37	molen	picture+word	aloud	aloud	0	0.78	800	0
AH37	molen	picture+word	aloud	molen	0.78	11225	1578	778
AH37	molen	picture+word	aloud	!	1.12	12006	1923	1123
AH37	nagelknipper	picture+word	aloud	aloud	0	0.42	800	0
AH37	nagelknipper	picture+word	aloud	nagelknipper	0.42	10554	1224	424
AH37	nagelknipper	picture+word	aloud	!	1.06	12047	1855	1055
AH37	olifant	picture	aloud	aloud	0	0.41	800	0
AH37	olifant	picture	aloud	olifant	0.41	0.96	1210	410
AH37	olifant	picture	aloud	!	0.96	1208	1756	956
AH37	olijf	picture	silent	silent	0	0.2	800	0
AH37	olijf	picture	silent	olijf	0.2	1.1	1000	200
AH37	olijf	picture	silent	!	1.1	12031	1900	1100
AH37	paprika	picture	aloud	aloud	0	0.44	800	0
AH37	paprika	picture	aloud	paprika	0.44	0.89	1241	441
AH37	paprika	picture	aloud	!	0.89	12027	1693	893
AH37	piano	picture	aloud	aloud	0	0.75	800	0
AH37	piano	picture	aloud	piano	0.75	11552	1555	755
AH37	piano	picture	aloud	!	1.16	11995	1955	1155
AH37	pijl	picture	silent	silent	0	0.2	800	0
AH37	pijl	picture	silent	pijl	0.2	1.1	1000	200
AH37	pijl	picture	silent	!	1.1	12033	1900	1100
AH37	pil	picture+word	silent	silent	0	0.2	800	0
AH37	pil	picture+word	silent	pil	0.2	1.1	1000	200
AH37	pil	picture+word	silent	!	1.1	11998	1900	1100
AH37	pincet	picture+word	silent	silent	0	0.2	800	0
AH37	pincet	picture+word	silent	pincet	0.2	1.1	1000	200
AH37	pincet	picture+word	silent	!	1.1	12039	1900	1100
AH37	pinda	picture+word	aloud	aloud	0	0.44	800	0
AH37	pinda	picture+word	aloud	pinda	0.44	0.81	1238	438
AH37	pinda	picture+word	aloud	!	0.81	12031	1607	807
AH37	plank	picture+word	aloud	aloud	0	0.47	800	0
AH37	plank	picture+word	aloud	plank	0.47	0.79	1266	466
AH37	plank	picture+word	aloud	!	0.79	12072	1590	790
AH37	pleister	picture+word	aloud	aloud	0	0.38	800	0
AH37	pleister	picture+word	aloud	pleister	0.38	0.8	1183	383
AH37	pleister	picture+word	aloud	!	0.8	12066	1598	798
AH37	pot	picture	aloud	aloud	0	0.82	800	0
AH37	pot	picture	aloud	pot	0.82	11767	1619	819
AH37	pot	picture	aloud	GLAS	1.18	12082	1977	1177
AH37	printer	picture	silent	silent	0	0.2	800	0
AH37	printer	picture	silent	printer	0.2	1.1	1000	200
AH37	printer	picture	silent	!	1.1	12016	1900	1100
AH37	prullenbak	picture	aloud	aloud	0	0.46	800	0
AH37	prullenbak	picture	aloud	prullenbak	0.46	0.95	1257	457
AH37	prullenbak	picture	aloud	!	0.95	12041	1748	948
AH37	puntenslijper	picture+word	silent	silent	0	0.2	800	0
AH37	puntenslijper	picture+word	silent	puntenslijper	0.2	1.1	1000	200
AH37	puntenslijper	picture+word	silent	!	1.1	12002	1900	1100
AH37	puzzelstukje	picture+word	silent	silent	0	0.2	800	0
AH37	puzzelstukje	picture+word	silent	puzzelstukje	0.2	1.1	1000	200
AH37	puzzelstukje	picture+word	silent	!	1.1	12079	1900	1100
AH37	riem	picture+word	aloud	aloud	0	0.4	800	0
AH37	riem	picture+word	aloud	riem	0.4	0.71	1200	400
AH37	riem	picture+word	aloud	!	0.71	12078	1508	708
AH37	rietje	picture+word	silent	silent	0	0.2	800	0
AH37	rietje	picture+word	silent	rietje	0.2	1.1	1000	200
AH37	rietje	picture+word	silent	!	1.1	12047	1900	1100
AH37	rijst	picture	silent	silent	0	0.2	800	0
AH37	rijst	picture	silent	rijst	0.2	1.1	1000	200
AH37	rijst	picture	silent	!	1.1	12081	1900	1100
AH37	rits	picture	silent	silent	0	0.2	800	0
AH37	rits	picture	silent	rits	0.2	1.1	1000	200
AH37	rits	picture	silent	!	1.1	12063	1900	1100
AH37	schaar	picture+word	aloud	aloud	0	0.35	800	0
AH37	schaar	picture+word	aloud	schaar	0.35	0.72	1147	347
AH37	schaar	picture+word	aloud	!	0.72	1208	1523	723
AH37	scheermesje	picture+word	silent	silent	0	0.2	800	0
AH37	scheermesje	picture+word	silent	scheermesje	0.2	1.1	1000	200
AH37	scheermesje	picture+word	silent	!	1.1	12072	1900	1100
AH37	schep	picture+word	silent	silent	0	0.2	800	0
AH37	schep	picture+word	silent	schep	0.2	1.1	1000	200
AH37	schep	picture+word	silent	!	1.1	12041	1900	1100
AH37	schommel	picture	aloud	aloud	0	0.39	800	0
AH37	schommel	picture	aloud	schommel	0.39	0.81	1193	393
AH37	schommel	picture	aloud	!	0.81	12015	1605	805
AH37	sigaret	picture	silent	silent	0	0.2	800	0
AH37	sigaret	picture	silent	sigaret	0.2	1.1	1000	200
AH37	sigaret	picture	silent	!	1.1	12072	1900	1100
AH37	slabbetje	picture+word	silent	silent	0	0.2	800	0
AH37	slabbetje	picture+word	silent	slabbetje	0.2	1.1	1000	200
AH37	slabbetje	picture+word	silent	!	1.1	12073	1900	1100
AH37	sleutel	picture+word	aloud	aloud	0	0.36	800	0
AH37	sleutel	picture+word	aloud	sleutel	0.36	0.81	1160	360
AH37	sleutel	picture+word	aloud	!	0.81	12008	1614	814
AH37	sneeuwpop	picture	silent	silent	0	0.2	800	0
AH37	sneeuwpop	picture	silent	sneeuwpop	0.2	1.1	1000	200
AH37	sneeuwpop	picture	silent	!	1.1	12092	1900	1100
AH37	speen	picture	aloud	aloud	0	0.34	800	0
AH37	speen	picture	aloud	speen	0.34	0.75	1137	337
AH37	speen	picture	aloud	!	0.75	12055	1550	750
AH37	steen	picture+word	silent	silent	0	0.2	800	0
AH37	steen	picture+word	silent	steen	0.2	1.1	1000	200
AH37	steen	picture+word	silent	!	1.1	1204	1900	1100
AH37	stofzuiger	picture+word	aloud	aloud	0	0.46	800	0
AH37	stofzuiger	picture+word	aloud	stofzuiger	0.46	11009	1256	456
AH37	stofzuiger	picture+word	aloud	!	1.1	12075	1901	1101
AH37	strijkijzer	picture+word	aloud	aloud	0	0.39	800	0
AH37	strijkijzer	picture+word	aloud	strijkijzer	0.39	10514	1192	392
AH37	strijkijzer	picture+word	aloud	!	1.05	12037	1851	1051
AH37	stropdas	picture+word	silent	silent	0	0.2	800	0
AH37	stropdas	picture+word	silent	stropdas	0.2	1.1	1000	200
AH37	stropdas	picture+word	silent	!	1.1	12005	1900	1100
